Unnamed: 0,车站代码,地址,城市,省份,坐标（高德GCJ-02坐标系）
北京北,VAP,北京市西城区北京北火车站,北京市,北京市,"116.352994,39.945261"
北京东,BOP,北京东火车站,北京市,北京市,"116.484819,39.902341"
北京,BJP,北京市东城区北京火车站,北京市,北京市,"116.427915,39.902895"
北京南,VNP,北京市丰台区南火车站,北京市,北京市,"116.379810,39.865419"
北京西,BXP,北京市丰台区西火车站,北京市,北京市,"116.321113,39.894538"
广州南,IZQ,广东省广州市,广州市,广东省,"113.264434,23.129162"
重庆北,CUW,重庆市渝北区北火车站,重庆市,重庆市,"106.548355,29.604132"
重庆,CQW,重庆市渝中区重庆火车站,重庆市,重庆市,"106.516416,29.539798"
重庆南,CRW,重庆市大足区南火车站,重庆市,重庆市,"105.745918,29.421464"
重庆西,CXW,重庆市,重庆市,重庆市,"106.551556,29.563009"
广州东,GGQ,广东省广州市天河区东火车站,广州市,广东省,"113.324900,23.150566"
上海,SHH,上海市静安区上海火车站,上海市,上海市,"121.455625,31.250202"
上海南,SNH,上海市,上海市,上海市,"121.473701,31.230416"
上海虹桥,AOH,上海市闵行区虹桥火车站,上海市,上海市,"121.320205,31.193935"
上海西,SXH,上海市,上海市,上海市,"121.473701,31.230416"
天津北,TBP,天津市,天津市,天津市,"117.200983,39.084158"
天津,TJP,天津市河东区天津火车站,天津市,天津市,"117.211336,39.137899"
天津南,TIP,天津市蓟州区南火车站,天津市,天津市,"117.369408,39.995048"
天津西,TXP,天津市红桥区西火车站,天津市,天津市,"117.163257,39.159572"
香港西九龙,XJA,香港特别行政区香港特别行政区深水埗區西九龙,香港特别行政区,香港特别行政区,"114.151820,22.331542"
长春,CCT,吉林省长春市宽城区长春火车站,长春市,吉林省,"125.324855,43.909848"
长春南,CET,吉林省长春市,长春市,吉林省,"125.323544,43.817071"
长春西,CRT,吉林省长春市绿园区西火车站,长春市,吉林省,"125.200934,43.876709"
成都东,ICW,四川省成都市成华区东火车站,成都市,四川省,"104.141085,30.628884"
成都南,CNW,成都南火车站,成都市,四川省,"104.068431,30.606147"
成都,CDW,四川省成都市金牛区成都火车站,成都市,四川省,"104.073373,30.695929"
长沙,CSQ,湖南省长沙市芙蓉区长沙火车站,长沙市,湖南省,"113.010644,28.192547"
长沙南,CWQ,长沙南火车站,长沙市,湖南省,"113.065494,28.147104"
大明湖,JAK,陕西省渭南市华县大明镇,渭南市,陕西省,"109.744057,34.385696"
福州,FZS,福建省福州市晋安区福州火车站,福州市,福建省,"119.319952,26.113730"
福州南,FYS,福建省福州市仓山区南火车站,福州市,福建省,"119.389358,25.986565"
贵阳,GIW,贵州省贵阳市南明区贵阳火车站,贵阳市,贵州省,"106.703767,26.557856"
广州,GZQ,广东省广州市越秀区广州火车站,广州市,广东省,"113.258171,23.147675"
广州西,GXQ,广东省广州市荔湾区西火车站,广州市,广东省,"113.244436,23.138154"
哈尔滨,HBB,黑龙江省哈尔滨市南岗区哈尔滨火车站,哈尔滨市,黑龙江省,"126.633588,45.762334"
